0,0
100,100
50,50
42.1,42.1
42.1,42.2
12.5,87.2
3.14,15.9
99.9,0.1
8.4,92.1
45,67.3
23.5,12.8
76.2,88.9
34.1,5.6
89.4,44.4
11.1,11.1
67.8,23.4
55.5,77.7
29.9,61.2
82.3,14.5
4.5,49.9
95.2,73.1
38.7,82.4
61.1,6.8
17.3,33.3
74.9,55.5
5.6,80.2
88.8,99.2
41.4,27.6
63.2,41.1
20.8,95.5
91.3,22.2
14.7,68.9
58.6,19.3
79.1,64.7
2.2,25.4
97.6,48.1
31.5,85.6
69.4,3.3
48.2,91.8
26.3,52.4
85.7,70.9
9.9,39.1
52.8,8.7
71.5,96.3
36.6,60.2
93.4,81.5
19.2,17.4
65.9,58.8
43.3,4.1
81.8,36.5
1.5,75.3
98.1,12.6
28.4,98.4
56.7,46.7
77.2,29.9
16.1,84.2
86.5,51.1
39.8,10.5
62.4,79.6
22.9,65.8
94.7,94.7
7.8,5.2
51.3,62.9
73.6,18.4
33.9,74.5
84.2,8.9
15.5,43.6
68.1,89.1
46.9,24.3
90.5,66.6
25.1,1.8
78.4,83.3
13.8,54.7
59.2,97.5
37.5,31.2
96.9,26.8
6.4,69.5
53.4,42.9
83.5,76.4
21.6,8.1
70.7,53.2
49.1,15.7
92.8,38.4
27.7,87.9
60.5,4.9
18.9,72.6
80.6,90.2
35.2,21.5
64.8,63.4
10.9,93.1
54.1,78.8
75.5,11.3
32.6,47.2
87.3,95.9
40.2,59.1
99.1,50.5
24.8,35.6
66.3,86.7
44.6,13.4
88.1,61.9
